RU,Gmail,165
RU,Yahoo,199
RU,Hotmail,2
RU,MSN,545
RU,Orange,362
RU,Comcast,328
RU,AOL,423
RU,Live,90
RU,RediffMail,177
RU,GMX,548
RU,Yandex,151
RU,Mail.ru,552
US,Gmail,474
US,Yahoo,353
US,Hotmail,553
US,MSN,78
US,Orange,346
US,Comcast,55
US,AOL,427
US,Live,586
US,RediffMail,424
US,GMX,377
US,Yandex,357
US,Mail.ru,358
GB,Gmail,23
GB,Yahoo,553
GB,Hotmail,513
GB,MSN,537
GB,Orange,66
GB,Comcast,574
GB,AOL,246
GB,Live,596
GB,RediffMail,416
GB,GMX,438
GB,Yandex,118
GB,Mail.ru,277
FR,Gmail,30
FR,Yahoo,246
FR,Hotmail,8
FR,MSN,174
FR,Orange,107
FR,Comcast,148
FR,AOL,573
FR,Live,117
FR,RediffMail,262
FR,GMX,123
FR,Yandex,248
FR,Mail.ru,479
BL,Gmail,93
BL,Yahoo,493
BL,Hotmail,329
BL,MSN,2
BL,Orange,240
BL,Comcast,171
BL,AOL,0
BL,Live,515
BL,RediffMail,372
BL,GMX,482
BL,Yandex,513
BL,Mail.ru,70
AT,Yahoo,399
AT,Hotmail,407
AT,MSN,505
AT,Orange,412
AT,Comcast,186
AT,AOL,325
AT,Live,20
AT,RediffMail,338
AT,GMX,284
AT,Yandex,214
AT,Mail.ru,360
BG,Gmail,317
BG,Yahoo,53
BG,Hotmail,29
BG,MSN,397
BG,Orange,46
BG,Comcast,324
BG,AOL,585
BG,Live,343
BG,RediffMail,318
BG,GMX,196
BG,Mail.ru,268
DK,Gmail,513
DK,Yahoo,40
DK,Hotmail,330
DK,MSN,7
DK,Orange,524
DK,Comcast,73
DK,AOL,544
DK,Live,267
DK,RediffMail,131
DK,GMX,334
DK,Yandex,308
DK,Mail.ru,99
CA,Gmail,192
CA,Yahoo,10
CA,Hotmail,470
CA,MSN,69
CA,Orange,241
CA,Comcast,118
CA,AOL,479
CA,Live,30
CA,RediffMail,22
CA,GMX,88
CA,Yandex,25
CA,Mail.ru,455
ES,Gmail,94
ES,Yahoo,424
ES,Hotmail,93
ES,MSN,74
ES,Orange,190
ES,Comcast,301
ES,AOL,586
ES,Live,551
ES,RediffMail,413
ES,GMX,266
ES,Yandex,513
ES,Mail.ru,363
CH,Gmail,309
CH,Yahoo,266
CH,Hotmail,315
CH,MSN,9
CH,Orange,582
CH,Comcast,178
CH,AOL,68
CH,Live,6
CH,RediffMail,515
CH,GMX,439
CH,Yandex,251
CH,Mail.ru,521
TR,Gmail,576
TR,Yahoo,1
TR,Hotmail,86
TR,MSN,353
TR,Orange,525
TR,Comcast,210
TR,AOL,87
TR,Live,331
TR,RediffMail,299
TR,GMX,352
TR,Yandex,548
TR,Mail.ru,220
PE,Gmail,523
PE,Yahoo,114
PE,Hotmail,581
PE,MSN,468
PE,Orange,400
PE,Comcast,179
PE,AOL,417
PE,Live,313
PE,RediffMail,424
PE,GMX,60
PE,Yandex,88
PE,Mail.ru,219
NZ,Gmail,37
NZ,Yahoo,149
NZ,Hotmail,562
NZ,MSN,334
NZ,Orange,153
NZ,Comcast,332
NZ,AOL,316
NZ,Live,519
NZ,RediffMail,511
NZ,GMX,383
NZ,Yandex,438
NZ,Mail.ru,536
MC,Gmail,104
MC,Yahoo,63
MC,Hotmail,291
MC,MSN,534
MC,Orange,348
MC,Comcast,91
MC,AOL,578
MC,Live,442
MC,RediffMail,27
MC,GMX,180
MC,Yandex,54
MC,Mail.ru,398
